,count,mean,std,min,25%,50%,75%,max,median
beer,250.0,125.5,72.31297716638879,1.0,63.25,125.5,187.75,250.0,125.5
beer_id,250.0,4602339649885.692,2276041978440.651,1882.0,5410228194178.25,5411663001938.0,5422542245266.25,9120041150784.0,5411663001938.0
tasting_category_fine,250.0,10.296,5.821334532817357,0.0,6.0,10.0,15.75,21.0,10.0
acetaldehyde,250.0,0.578982717204,0.3814148726902595,-1.902829488,0.40930931575,0.613289654,0.82209020375,1.268627576,0.613289654
CS2,250.0,-1.8983967488879998,0.5730022805220397,-2.146291652,-2.146291652,-2.146291652,-2.146291652,-0.008552402,-2.146291652
DES,250.0,-0.37009350536399993,0.649862984999828,-1.905266906,-0.5067809525,-0.212162841,0.0267356355,0.671646697,-0.212162841
DMS,250.0,1.392986799284,0.3400623836307577,0.0462112,1.183130091,1.3844274665,1.61622484975,2.716380377,1.3844274665
ethyl_2.methyl_butyrate,250.0,-2.4296127321039998,0.6326560687459061,-3.195519811,-3.195519811,-2.2863036095,-1.933674075,-0.539583303,-2.2863036095
ethyl_acetate,250.0,1.389745029304,0.33324426712258204,-0.599349782,1.2925373894999999,1.4418169,1.5773879962500001,2.116964264,1.4418169
ethyl_decanoate,250.0,-1.0314808715559998,0.4939470544964416,-2.975719624,-1.3341891645000001,-0.950485018,-0.660122962,-0.186983093,-0.950485018
ethyl_hexanoate,250.0,-0.6793173669079999,0.32952341095562354,-2.476904162,-0.8178099492500001,-0.6273870875,-0.4639125285,-0.078258916,-0.6273870875
ethyl_isovalerate,250.0,-2.8402626362639998,1.2125607942757908,-4.487004489,-4.487004489,-2.2441418535,-1.9498626705,-0.85884822,-2.2441418535
ethyl_octanoate,250.0,-0.39821457572,0.37314137391236407,-2.004803708,-0.5495656849999999,-0.3047542725,-0.1469920805,0.301065823,-0.3047542725
ethyl_propionate,250.0,-1.21455032094,0.4208064643567483,-2.44279366,-1.411120178,-1.1649941395,-0.9516109305,-0.087870979,-1.1649941395
H2S,250.0,0.821079328032,0.558835554695111,-1.586071886,0.7516249885,0.9288460585,1.0680714205,1.694089969,0.9288460585
isoamyl_alcohol,250.0,1.556055626048,0.3449590572812546,-0.730837435,1.4925354842499998,1.6078843475,1.715154806,2.009009514,1.6078843475
isobutanol,250.0,0.959484721248,0.45148028284282465,-1.321117585,0.90012951625,1.043023442,1.1842485847500002,1.523693932,1.043023442
isobutyl_acetate,250.0,-1.3066593925000003,0.5613302803592836,-3.265600257,-1.48281059425,-1.1465207259999999,-0.966661719,-0.327583468,-1.1465207259999999
isopentyl_acetate,250.0,0.248974558516,0.45037104802949,-1.189498652,0.022439195250000002,0.3387104425,0.57083823825,1.116660035,0.3387104425
MeSH,250.0,-0.094004264292,0.2542738705078118,-1.784098187,-0.2240281065,-0.0592785365,0.07358306775,0.540736044,-0.0592785365
octyl_acetate,250.0,-2.733910618316,0.6784722671492461,-3.45500232,-3.45500232,-2.6180960825,-2.1015618947499997,-1.44267329,-2.6180960825
phenethyl_acetate,250.0,-0.751476379848,0.3766545979069231,-2.221667831,-0.94345724325,-0.7070300555,-0.486048451,0.10738467,-0.7070300555
phenethyl_alcohol,250.0,0.8936971793759999,0.3837034342995564,-0.041675068,0.731890199,0.9398946045000001,1.1392707770000001,1.889005553,0.9398946045000001
X4VG,250.0,-1.6702753879879997,0.5280482181965086,-2.013157381,-2.013157381,-2.013157381,-1.14439584675,-0.164417223,-2.013157381
SO2.mg.L.,250.0,0.315451315908,0.2733983628766045,-1.0,0.17322537324999998,0.311753861,0.47882437875,1.07371835,0.311753861
acetic_acid.g.L.,250.0,-0.719563933488,0.34671931035084863,-1.756961951,-0.920818754,-0.769551079,-0.530177984,0.5132176,-0.769551079
ammonia.mg.L.,250.0,0.958354927896,0.5591063229059018,-0.853871964,0.67175116225,0.9803530874999999,1.34071665,2.303260873,0.9803530874999999
color.EBC.,250.0,1.330447050252,0.40202858382513257,0.653212514,1.01336300625,1.2606638595000002,1.7250799895,2.476179262,1.2606638595000002
betaglucan.mg.L.,250.0,1.8629854178,0.5714837420517909,0.096910013,1.648360011,2.044316071,2.235528447,2.603144373,2.044316071
lactic_acid.mg.L.,250.0,2.2808214448879998,0.4696213396389615,1.311753861,2.025305865,2.141446943,2.28414835775,3.856577858,2.141446943
glycerol,250.0,0.383920561712,0.17540815332953819,-0.795880017,0.3164935925,0.4061139835,0.48625321575,0.77633791,0.4061139835
iron,250.0,-1.051705451052,0.5294728466750294,-2.698970004,-1.38731150025,-1.024338467,-0.75393407025,0.701999475,-1.024338467
pH,250.0,0.6139429270319999,0.017155297404017604,0.57054294,0.605305046,0.6162127829999999,0.62324929,0.674401813,0.6162127829999999
protein.g.L.,250.0,0.8853887374,0.22881272603106936,-0.698970004,0.74915313225,0.8750516125,1.0032410305000001,1.546542663,0.8750516125
bitterness,250.0,1.144750346104,0.4464634302990365,-1.144178095,0.970589339,1.2591636685,1.42013929575,1.794142844,1.2591636685
GFS,250.0,-0.52148972308,0.9590221485927692,-2.602059991,-1.187086643,-0.7270373354999999,0.06304486349999999,1.914263803,-0.7270373354999999
ethanol..v.v.,250.0,0.8039263130039999,0.28280471579250865,-1.455931956,0.752526026,0.8568798440000001,0.930439595,1.06595298,0.8568798440000001
CO2.PSI.,250.0,0.29961528399599996,0.25036689867020345,-0.230992129,0.267171728,0.361727836,0.469822016,0.707570176,0.361727836
unfermentables,250.0,1.416143270384,0.28791399442636806,0.070960916,1.345813994,1.4869957585,1.56814301975,1.896085085,1.4869957585
kcalperc,250.0,1.7379198615999998,0.11116025320581396,0.955286362,1.6639683697499998,1.752121051,1.81681272575,1.978453886,1.752121051
X1.propanol,250.0,5.771132006484001,1.4127648584665835,-1.81781854,5.5418663345,6.013055587,6.392455729,7.441162091,6.013055587
X2.3.butanedione,241.0,2.7458238779128634,13.919441055697634,5.9e-08,0.07407538,0.284672385,0.754107966,121.7310182,0.284672385
X3.methylbutanal,243.0,1.1322146071872428,9.584960816691229,5.5e-09,0.0372698845,0.10845693,0.228754403,127.059107,0.10845693
propylene.glycol,250.0,3.6647691513119995,3.547773467458151,-1.81781854,-1.81781854,5.5421003695,6.214010097499999,7.479163406,5.5421003695
propyl.acetate,250.0,5.57724754114,1.9963448929265624,-1.81781854,5.607002243,6.179185682,6.4190162195,7.382127173,6.179185682
n.pentanol,250.0,7.926916956908,0.3916568523176224,5.699394702,7.7462543695,7.9816135955,8.17832991825,8.668641086,7.9816135955
X2.methyl.1.butanol,250.0,8.214132371892,0.3733044784614822,5.791555388,8.00964656375,8.180695186000001,8.43241420725,9.049596762,8.180695186000001
