;overall
overall;1
ethyl_acetate;0,401310749
kcalperc;0,332649674
isobutyl_acetate;0,319734118
tasting_category_fine;0,229504265
H2S;0,146259075
bitterness;0,111980294
X2.3.dihydro.farnesol;0,101165181
ethyl.butyrate;0,056602699
cis.beta.terpineol;0,055246567
ethyl.lactate;0,036502601
trans.dihydro.beta.terpineol;0,033591362
styrene;0,028784469
manool;0,002502934
protein.g.L.;-0,008744357
X3.methylbutanal;-0,011174921
tau.muurolol;-0,017341928
E.caryophyllene;-0,021318112
Z.nerolidol;-0,021665876
alpha.eudesmol;-0,025924974
ambroxide;-0,030960251
eugenol;-0,039033828
eucalyptol;-0,046225329
pH;-0,061323932
limonene;-0,075787387
isoborneol;-0,085632306
X2.pentyl.furan;-0,087174153
cumin.aldehyde;-0,106220239
linalool.isovalerate;-0,115949216
cis.linalool.oxide;-0,202384555
X3.methyl.2.hexanol;-0,249439021
